x_min x_max val stat syst 
0.00 1.00 229577.89 3008.67 12096.53 
1.00 2.00 431296.04 3369.49 20773.01 
2.00 3.00 329649.47 2168.58 16276.58 
3.00 4.00 175723.14 1680.58 10774.60 
4.00 5.00 90512.38 1384.42 7532.51 
5.00 6.00 44223.74 924.29 3349.12 
6.00 8.00 38047.30 714.63 1669.65 
8.00 10.00 10803.23 330.56 503.18 
