x_min x_max val stat syst 
0.00 1.00 159367.05 2505.42 21443.98 
1.00 2.00 323468.95 3311.38 13843.49 
2.00 3.00 246239.34 1934.11 15413.19 
3.00 4.00 127070.32 1703.30 5329.68 
4.00 5.00 61743.24 1244.21 3382.75 
5.00 6.00 30291.84 831.37 1867.76 
6.00 8.00 25628.46 779.19 1126.76 
8.00 10.00 7206.14 269.87 740.00 
10.00 12.00 2143.55 183.40 274.04 
12.00 15.00 1407.73 158.73 65.44 
