x_min x_max val stat syst 
0.00 1.00 -0.00253 0.00682 0.00126 
1.00 2.00 0.03915 0.00484 0.00040 
2.00 3.00 0.08192 0.00530 0.00210 
3.00 4.00 0.08384 0.00707 0.00229 
4.00 5.00 0.10507 0.00988 0.00448 
5.00 6.00 0.13187 0.01313 0.00333 
6.00 8.00 0.05679 0.01328 0.00362 
8.00 10.00 0.07315 0.02182 0.00391 
10.00 12.00 0.02987 0.03858 0.00312 
12.00 15.00 0.07807 0.04625 0.00811
