x_min x_max val stat syst 
0.00 1.00 61008.24 1456.33 3209.47 
1.00 2.00 108801.17 1613.62 3917.05 
2.00 3.00 85578.46 958.50 2691.90 
3.00 4.00 48849.94 658.35 1454.54 
4.00 5.00 25708.42 646.18 879.44 
5.00 6.00 14064.73 381.50 308.87 
6.00 8.00 12563.10 374.73 365.17 
8.00 10.00 3831.95 152.17 169.63 
10.00 12.00 1179.25 87.13 81.09 
12.00 15.00 692.58 96.63 27.36 
