x ex val stat syst 
0.64 0.25 0.0008 0.011 0.0032389
1.49 0.25 0.029 0.0091 0.0032904
2.47 0.25 0.067 0.0089 0.003359
3.46 0.25 0.099 0.0095 0.0043267
4.45 0.25 0.098 0.011 0.0065719
5.45 0.25 0.101 0.013 0.0066256
6.819 0.25 0.098 0.023 0.0065651
8.835 0.25 0.092 0.022 0.0067724
10.84 0.25 0.055 0.037 0.0075293
14.25 0.25 0.026 0.039 0.0093145
